REPORTED_AT,RACE_ID,CONTEST,WARD_NAME,ACCLAIMED,REPORTING,OUT_OF,VOTES_CAST,RACE,CANDIDATE_NAME,VOTES_RECEIVED,PERCENTAGE
"Monday, October 21, 2013 10:16 pm",103,Mayor,City,No,279,279,213585,103,Kristine ACIELO,1292,0.6%
"Monday, October 21, 2013 10:16 pm",103,Mayor,City,No,279,279,213585,103,Kerry DIOTTE,32917,15.4%
"Monday, October 21, 2013 10:16 pm",103,Mayor,City,No,279,279,213585,103,Don IVESON,132162,61.9%
"Monday, October 21, 2013 10:16 pm",103,Mayor,City,No,279,279,213585,103,Karen LEIBOVICI,41182,19.3%
"Monday, October 21, 2013 10:16 pm",103,Mayor,City,No,279,279,213585,103,Joshua SEMOTIUK,2596,1.2%
"Monday, October 21, 2013 10:16 pm",103,Mayor,City,No,279,279,213585,103,Gordon WARD,2248,1.0%
"Monday, October 21, 2013 10:16 pm",104,Councillor ,Ward 01,No,24,24,17324,104,Sean AMATO,1674,9.7%
"Monday, October 21, 2013 10:16 pm",104,Councillor ,Ward 01,No,24,24,17324,104,Andrew KNACK,7492,43.2%
"Monday, October 21, 2013 10:16 pm",104,Councillor ,Ward 01,No,24,24,17324,104,Sharon MACLISE,2551,14.7%
"Monday, October 21, 2013 10:16 pm",104,Councillor ,Ward 01,No,24,24,17324,104,Rob PASAY,665,3.8%
"Monday, October 21, 2013 10:16 pm",104,Councillor ,Ward 01,No,24,24,17324,104,Jamie Kenneth POST,1016,5.9%
"Monday, October 21, 2013 10:16 pm",104,Councillor ,Ward 01,No,24,24,17324,104,Bryan SANDILANDS,3374,19.5%
"Monday, October 21, 2013 10:16 pm",105,Councillor ,Ward 02,No,24,24,15952,105,Mustafa ALI,1355,8.5%
"Monday, October 21, 2013 10:16 pm",105,Councillor ,Ward 02,No,24,24,15952,105,Bev ESSLINGER,4553,28.5%
"Monday, October 21, 2013 10:16 pm",105,Councillor ,Ward 02,No,24,24,15952,105,Ted GRAND,1684,10.6%
"Monday, October 21, 2013 10:16 pm",105,Councillor ,Ward 02,No,24,24,15952,105,Nita JALKANEN,1921,12.0%
"Monday, October 21, 2013 10:16 pm",105,Councillor ,Ward 02,No,24,24,15952,105,Don KOZIAK,3316,20.8%
"Monday, October 21, 2013 10:16 pm",105,Councillor ,Ward 02,No,24,24,15952,105,Jason MILLAR,1278,8.0%
"Monday, October 21, 2013 10:16 pm",105,Councillor ,Ward 02,No,24,24,15952,105,Shelley TUPPER,1400,8.8%
"Monday, October 21, 2013 10:16 pm",106,Councillor ,Ward 03,No,21,21,14848,106,Rob BERNSHAW,1135,7.6%
"Monday, October 21, 2013 10:16 pm",106,Councillor ,Ward 03,No,21,21,14848,106,David DODGE,6063,40.8%
"Monday, October 21, 2013 10:16 pm",106,Councillor ,Ward 03,No,21,21,14848,106,Hakin ISSE,761,5.1%
"Monday, October 21, 2013 10:16 pm",106,Councillor ,Ward 03,No,21,21,14848,106,Dave LOKEN,6564,44.2%
"Monday, October 21, 2013 10:16 pm",107,Councillor ,Ward 04,No,23,23,14313,107,Ed GIBBONS,10752,75.1%
"Monday, October 21, 2013 10:16 pm",107,Councillor ,Ward 04,No,23,23,14313,107,Sam HACHEM,3181,22.2%
"Monday, October 21, 2013 10:16 pm",108,Councillor ,Ward 05,No,22,22,19182,108,Rodolfo 'Rudy' ARCILLA,1081,5.6%
"Monday, October 21, 2013 10:16 pm",108,Councillor ,Ward 05,No,22,22,19182,108,Terry Diane DEMERS,3313,17.3%
"Monday, October 21, 2013 10:16 pm",108,Councillor ,Ward 05,No,22,22,19182,108,Jim GIBBON,4805,25.0%
"Monday, October 21, 2013 10:16 pm",108,Councillor ,Ward 05,No,22,22,19182,108,Mark GRANDISH,173,0.9%
"Monday, October 21, 2013 10:16 pm",108,Councillor ,Ward 05,No,22,22,19182,108,Rob HENNIGAR,2249,11.7%
"Monday, October 21, 2013 10:16 pm",108,Councillor ,Ward 05,No,22,22,19182,108,Brian KENDRICK,297,1.6%
"Monday, October 21, 2013 10:16 pm",108,Councillor ,Ward 05,No,22,22,19182,108,Michael OSHRY,5433,28.3%
"Monday, October 21, 2013 10:16 pm",108,Councillor ,Ward 05,No,22,22,19182,108,Allan SANTOS,1002,5.2%
"Monday, October 21, 2013 10:16 pm",108,Councillor ,Ward 05,No,22,22,19182,108,Alla TERNIKOVA,282,1.5%
"Monday, October 21, 2013 10:16 pm",109,Councillor ,Ward 06,No,24,24,18474,109,Taz BOUCHIER,199,1.1%
"Monday, October 21, 2013 10:16 pm",109,Councillor ,Ward 06,No,24,24,18474,109,Kyle BROWN,254,1.4%
"Monday, October 21, 2013 10:16 pm",109,Councillor ,Ward 06,No,24,24,18474,109,Candas Jane DORSEY,478,2.6%
"Monday, October 21, 2013 10:16 pm",109,Councillor ,Ward 06,No,24,24,18474,109,Derrick FORSYTHE,1163,6.3%
"Monday, October 21, 2013 10:16 pm",109,Councillor ,Ward 06,No,24,24,18474,109,Carla FROST,268,1.4%
"Monday, October 21, 2013 10:16 pm",109,Councillor ,Ward 06,No,24,24,18474,109,Andrzej GUDANOWSKI,171,0.9%
"Monday, October 21, 2013 10:16 pm",109,Councillor ,Ward 06,No,24,24,18474,109,Melinda HOLLIS,469,2.5%
"Monday, October 21, 2013 10:16 pm",109,Councillor ,Ward 06,No,24,24,18474,109,Bryan George KAPITZA,928,5.0%
"Monday, October 21, 2013 10:16 pm",109,Councillor ,Ward 06,No,24,24,18474,109,Heather MACKENZIE,4698,25.4%
"Monday, October 21, 2013 10:16 pm",109,Councillor ,Ward 06,No,24,24,18474,109,Scott MCKEEN,6352,34.4%
"Monday, October 21, 2013 10:16 pm",109,Councillor ,Ward 06,No,24,24,18474,109,Erin NORTHEY,66,0.4%
"Monday, October 21, 2013 10:16 pm",109,Councillor ,Ward 06,No,24,24,18474,109,Terry PARADA,310,1.7%
"Monday, October 21, 2013 10:16 pm",109,Councillor ,Ward 06,No,24,24,18474,109,Adil PIRBHAI,177,1.0%
"Monday, October 21, 2013 10:16 pm",109,Councillor ,Ward 06,No,24,24,18474,109,Javed SOMMERS,85,0.5%
"Monday, October 21, 2013 10:16 pm",109,Councillor ,Ward 06,No,24,24,18474,109,Alfie WHITE,73,0.4%
"Monday, October 21, 2013 10:16 pm",109,Councillor ,Ward 06,No,24,24,18474,109,Dexx WILLIAMS,1942,10.5%
"Monday, October 21, 2013 10:16 pm",111,Councillor ,Ward 07,No,23,23,14782,111,Tony CATERINA,6064,41.0%
"Monday, October 21, 2013 10:16 pm",111,Councillor ,Ward 07,No,23,23,14782,111,Dave COLBURN,4892,33.1%
"Monday, October 21, 2013 10:16 pm",111,Councillor ,Ward 07,No,23,23,14782,111,A. Daniel ENIAFE,154,1.0%
"Monday, October 21, 2013 10:16 pm",111,Councillor ,Ward 07,No,23,23,14782,111,Tish PROUSE,1053,7.1%
"Monday, October 21, 2013 10:16 pm",111,Councillor ,Ward 07,No,23,23,14782,111,Terry ROLLS,476,3.2%
"Monday, October 21, 2013 10:16 pm",111,Councillor ,Ward 07,No,23,23,14782,111,Mimi WILLIAMS,1770,12.0%
"Monday, October 21, 2013 10:16 pm",112,Councillor ,Ward 08,No,26,26,20742,112,Brian A. DEACON,1417,6.8%
"Monday, October 21, 2013 10:16 pm",112,Councillor ,Ward 08,No,26,26,20742,112,Ben HENDERSON,14651,70.6%
"Monday, October 21, 2013 10:16 pm",112,Councillor ,Ward 08,No,26,26,20742,112,Nicholas READING,448,2.2%
"Monday, October 21, 2013 10:16 pm",112,Councillor ,Ward 08,No,26,26,20742,112,Kris SZCZEPANSKI,535,2.6%
"Monday, October 21, 2013 10:16 pm",112,Councillor ,Ward 08,No,26,26,20742,112,Heather WORKMAN,2603,12.6%
"Monday, October 21, 2013 10:16 pm",113,Councillor ,Ward 09,No,24,24,23537,113,Bryan ANDERSON,18735,79.6%
"Monday, October 21, 2013 10:16 pm",113,Councillor ,Ward 09,No,24,24,23537,113,Andrew GORMAN,3952,16.8%
"Monday, October 21, 2013 10:16 pm",114,Councillor ,Ward 10,No,22,22,19012,114,Ray BESSEL,444,2.3%
"Monday, October 21, 2013 10:16 pm",114,Councillor ,Ward 10,No,22,22,19012,114,Hafis DEVJI,1509,7.9%
"Monday, October 21, 2013 10:16 pm",114,Councillor ,Ward 10,No,22,22,19012,114,Richard John FEEHAN,3818,20.1%
"Monday, October 21, 2013 10:16 pm",114,Councillor ,Ward 10,No,22,22,19012,114,Dan 'Can Man Dan' JOHNSTONE,907,4.8%
"Monday, October 21, 2013 10:16 pm",114,Councillor ,Ward 10,No,22,22,19012,114,Michael WALTERS,11807,62.1%
"Monday, October 21, 2013 10:16 pm",115,Councillor ,Ward 11,No,25,25,17604,115,Rob AROMIN,228,1.3%
"Monday, October 21, 2013 10:16 pm",115,Councillor ,Ward 11,No,25,25,17604,115,Sonia BITAR,2488,14.1%
"Monday, October 21, 2013 10:16 pm",115,Councillor ,Ward 11,No,25,25,17604,115,Mujahid CHAK,920,5.2%
"Monday, October 21, 2013 10:16 pm",115,Councillor ,Ward 11,No,25,25,17604,115,Dennis John GANE,1123,6.4%
"Monday, October 21, 2013 10:16 pm",115,Councillor ,Ward 11,No,25,25,17604,115,Roberto MAGLALANG,475,2.7%
"Monday, October 21, 2013 10:16 pm",115,Councillor ,Ward 11,No,25,25,17604,115,Mike NICKEL,8235,46.8%
"Monday, October 21, 2013 10:16 pm",115,Councillor ,Ward 11,No,25,25,17604,115,Harvey PANESAR,2318,13.2%
"Monday, October 21, 2013 10:16 pm",115,Councillor ,Ward 11,No,25,25,17604,115,Brent SCHAFFRICK,1433,8.1%
"Monday, October 21, 2013 10:16 pm",116,Councillor ,Ward 12,No,21,21,17815,116,Raja ABBAS,479,2.7%
"Monday, October 21, 2013 10:16 pm",116,Councillor ,Ward 12,No,21,21,17815,116,Chinwe OKELU,3572,20.0%
"Monday, October 21, 2013 10:16 pm",116,Councillor ,Ward 12,No,21,21,17815,116,Amarjeet SOHI,13427,75.4%
"Monday, October 21, 2013 10:16 pm",117,Catholic School Board Trustee ,Ward 71,No,43,43,6523,117,Patricia GRELL,2709,41.5%
"Monday, October 21, 2013 10:16 pm",117,Catholic School Board Trustee ,Ward 71,No,43,43,6523,117,Terry HARRIS,1779,27.3%
"Monday, October 21, 2013 10:16 pm",117,Catholic School Board Trustee ,Ward 71,No,43,43,6523,117,Zach KOZIAK,1588,24.3%
"Monday, October 21, 2013 10:16 pm",118,Catholic School Board Trustee ,Ward 72,No,45,45,7755,118,Larry KOWALCZYK,4551,58.7%
"Monday, October 21, 2013 10:16 pm",118,Catholic School Board Trustee ,Ward 72,No,45,45,7755,118,Dan POSA,2748,35.4%
"Monday, October 21, 2013 10:16 pm",119,Catholic School Board Trustee ,Ward 73,No,46,46,7644,119,Jennifer CHAHAL,1422,18.6%
"Monday, October 21, 2013 10:16 pm",119,Catholic School Board Trustee ,Ward 73,No,46,46,7644,119,Michelle DAVIS,1551,20.3%
"Monday, October 21, 2013 10:16 pm",119,Catholic School Board Trustee ,Ward 73,No,46,46,7644,119,Cindy OLSEN,4246,55.6%
"Monday, October 21, 2013 10:16 pm",120,Catholic School Board Trustee ,Ward 74,No,39,39,8558,120,Debbie ENGEL,5535,64.7%
"Monday, October 21, 2013 10:16 pm",120,Catholic School Board Trustee ,Ward 74,No,39,39,8558,120,Brad LOHNER,2641,30.9%
"Monday, October 21, 2013 10:16 pm",121,Catholic School Board Trustee ,Ward 75,No,62,62,8996,121,John ACHESON,4107,45.6%
"Monday, October 21, 2013 10:16 pm",121,Catholic School Board Trustee ,Ward 75,No,62,62,8996,121,Andrea KLOTZ,4037,44.9%
"Monday, October 21, 2013 10:16 pm",122,Catholic School Board Trustee ,Ward 76,No,46,46,10051,122,Marilyn BERGSTRA,5409,53.8%
"Monday, October 21, 2013 10:16 pm",122,Catholic School Board Trustee ,Ward 76,No,46,46,10051,122,Tom SOLYOM,4132,41.1%
"Monday, October 21, 2013 10:16 pm",123,Catholic School Board Trustee ,Ward 77,No,46,46,8163,123,Stephen DUFRESNE,1375,16.8%
"Monday, October 21, 2013 10:16 pm",123,Catholic School Board Trustee ,Ward 77,No,46,46,8163,123,Kara PELECH,1998,24.5%
"Monday, October 21, 2013 10:16 pm",123,Catholic School Board Trustee ,Ward 77,No,46,46,8163,123,Roger RIASHY,640,7.8%
"Monday, October 21, 2013 10:16 pm",123,Catholic School Board Trustee ,Ward 77,No,46,46,8163,123,Laura THIBERT,3650,44.7%
"Monday, October 21, 2013 10:16 pm",124,Public School Board Trustee ,Ward A,Yes,45,45,0,124,Cheryl R JOHNER,0,0.0%
"Monday, October 21, 2013 10:16 pm",125,Public School Board Trustee ,Ward B,No,40,40,13153,125,Michelle DRAPER,6271,47.7%
"Monday, October 21, 2013 10:16 pm",125,Public School Board Trustee ,Ward B,No,40,40,13153,125,Steve JASWAL,2120,16.1%
"Monday, October 21, 2013 10:16 pm",125,Public School Board Trustee ,Ward B,No,40,40,13153,125,Carl KAMINSKY,3413,26.0%
"Monday, October 21, 2013 10:16 pm",126,Public School Board Trustee ,Ward C,No,44,44,16490,126,Orville CHUBB,3876,23.5%
"Monday, October 21, 2013 10:16 pm",126,Public School Board Trustee ,Ward C,No,44,44,16490,126,Tina JARDINE,3252,19.7%
"Monday, October 21, 2013 10:16 pm",126,Public School Board Trustee ,Ward C,No,44,44,16490,126,Susan KETTERINGHAM,3714,22.5%
"Monday, October 21, 2013 10:16 pm",126,Public School Board Trustee ,Ward C,No,44,44,16490,126,Karen J. PHEASANT,2939,17.8%
"Monday, October 21, 2013 10:16 pm",127,Public School Board Trustee ,Ward D,No,40,40,11470,127,Elizabeth JOHANNSON,4059,35.4%
"Monday, October 21, 2013 10:16 pm",127,Public School Board Trustee ,Ward D,No,40,40,11470,127,Ray MARTIN,6306,55.0%
