Ward,Neighbourhood Number,Neighbourhood Name,0 - 4,5 - 9,10 - 14,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,65 - 69,70 - 74,75 - 79,80 - 84,85+,No Response
WARD 1,3140,CRESTWOOD,68,83,97,99,76,62,59,74,77,110,116,148,98,100,91,80,64,49,800
WARD 1,3330,PARKVIEW,126,162,138,165,155,96,128,149,164,164,218,247,197,146,89,90,82,64,705
WARD 11,6110,CPR IRVINE,0,1,0,0,18,44,39,4,1,1,6,1,0,1,0,0,2,0,48
WARD 9,5350,RHATIGAN RIDGE,73,130,117,112,112,84,56,83,107,103,142,185,205,171,102,74,42,39,1140
WARD 5,4140,ELMWOOD,131,121,130,169,180,185,173,135,154,154,161,133,145,140,92,117,60,51,290
WARD 8,6350,KENILWORTH,72,76,84,100,97,135,130,103,121,123,325,449,114,90,92,139,127,73,103
WARD 4,2110,BRINTNELL,467,559,394,325,267,421,546,562,473,361,297,193,147,107,45,38,14,3,1263
WARD 4,2270,EVERGREEN,61,66,63,34,50,40,43,71,61,74,107,83,76,101,61,47,16,3,447
WARD 8,6380,LAMBTON INDUSTRIAL,0,0,0,36,70,64,55,12,0,0,0,0,0,0,0,0,0,0,0
WARD 7,1010,ALBERTA AVENUE,256,251,183,202,317,418,518,396,326,332,425,362,272,207,139,78,64,41,1968
WARD 1,4530,SUNWAPTA INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 5,4551,GRANVILLE,108,89,71,45,36,86,152,147,97,58,45,49,33,32,4,2,1,1,513
WARD 12,6140,CRAWFORD PLAINS,221,220,200,250,261,212,275,236,216,240,277,256,207,130,61,31,26,14,946
WARD 9,5575,WINDERMERE AREA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 12,6443,TAMARACK,505,442,316,236,209,364,582,571,416,236,154,106,88,91,36,13,3,13,196
WARD 9,5401,RIVER VALLEY FORT EDMONTON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
